split,accuracy,precision,recall,log_loss
train,0.5588906482861401,0.4457921132166805,0.26610233125613275,0.6845374223074704
validation,0.5582375037227042,0.453078346114574,0.2659297943212029,0.6849413065176023
test,0.55944013936445,0.44782662275988566,0.26502217119260957,0.6843796179274605
